company,company_tier,total_questions,easy_pct,medium_pct,hard_pct,avg_acceptance,median_acceptance,avg_frequency,median_frequency,avg_likes,avg_dislikes,top_category
oyo,Tier_C,7,14.285714285714286,71.42857142857143,14.285714285714286,52.28571428571429,50.9,60.714285714285715,62.5,16267.142857142857,1607.4285714285713,Algorithms
ozon,Tier_C,11,54.54545454545455,36.36363636363637,9.090909090909092,57.718181818181826,58.2,59.09090909090909,62.5,22008.090909090908,990.2727272727273,Algorithms
palantir,Tier_C,29,17.24137931034483,65.51724137931035,17.24137931034483,54.73103448275862,55.5,43.53448275862069,50.0,6970.964285714285,1190.3214285714287,Algorithms
palo-alto-networks,Tier_B,45,24.444444444444443,64.44444444444444,11.11111111111111,54.85555555555555,54.6,51.94444444444444,50.0,14876.444444444445,1468.6,Algorithms
park,Tier_C,2,0.0,100.0,0.0,54.75,54.75,43.75,43.75,15187.0,604.5,Algorithms
patreon,Tier_C,4,50.0,50.0,0.0,61.375,59.05,37.5,37.5,8114.25,630.25,Algorithms
paycom,Tier_C,2,100.0,0.0,0.0,69.75,69.75,81.25,81.25,7642.0,704.0,Algorithms
paypal,Tier_A,106,17.92452830188679,65.09433962264151,16.9811320754717,56.62641509433962,56.0,50.235849056603776,56.25,11875.42857142857,873.5238095238095,Algorithms
paypay,Tier_C,5,20.0,60.0,20.0,53.220000000000006,54.2,32.5,25.0,3530.6,3126.4,Algorithms
paytm,Tier_C,29,24.137931034482758,65.51724137931035,10.344827586206897,55.97241379310344,57.5,56.89655172413793,62.5,16598.666666666668,1256.037037037037,Algorithms
payu,Tier_C,2,50.0,50.0,0.0,69.75,69.75,25.0,25.0,6147.0,332.0,Algorithms
peak6,Tier_C,2,0.0,100.0,0.0,42.1,42.1,75.0,75.0,99.5,263.5,Algorithms
pega,Tier_C,1,100.0,0.0,0.0,68.9,68.9,87.5,87.5,5096.0,1954.0,Algorithms
peloton,Tier_C,2,0.0,50.0,50.0,46.0,46.0,87.5,87.5,5983.5,414.0,Algorithms
